model,density,particle_count,side,cells_per_side,cutoff,speed,time_step,eta,realizations,stationary_start,polarization_mean,polarization_std,cluster_mean,cluster_std,cim_time_ns_mean
voter,4.0,400,10.0,9,1.0,0.03,1.0,0.05,10,4000.0,0.46331341737258225,0.028525403958262856,0.992920513247792,0.003231293476539817,452214.1844025996
voter,4.0,400,10.0,9,1.0,0.03,1.0,0.075,10,4000.0,0.3229492421705436,0.01870694313867324,0.9921210631561406,0.003104685605837977,437423.6793034494
voter,4.0,400,10.0,9,1.0,0.03,1.0,0.1,10,4000.0,0.23984663311926932,0.008187798557294162,0.9945887352107983,0.0020368812629789792,385426.8570071655
voter,4.0,400,10.0,9,1.0,0.03,1.0,0.15,10,4000.0,0.16503899037152148,0.005729481930876158,0.9948956423929346,0.0019905300966508157,365533.86123979336
voter,4.0,400,10.0,9,1.0,0.03,1.0,0.2,10,4000.0,0.12254785238654856,0.002809993490206276,0.9965681969671722,0.0020766756605962826,314814.8720379936
voter,4.0,400,10.0,9,1.0,0.03,1.0,0.25,10,4000.0,0.09847412005356852,0.0014662443957898013,0.9977830778203632,0.0019247481432951297,292785.67005499086
voter,4.0,400,10.0,9,1.0,0.03,1.0,0.5,10,4000.0,0.05730569660551053,0.0008146426825125287,0.9998479003499418,0.00012384496018585144,250651.5190801533
voter,4.0,400,10.0,9,1.0,0.03,1.0,0.75,10,4000.0,0.04638006076641025,0.00031333334047013055,0.9999897100483253,9.986851306968101e-06,250364.97783702714
voter,4.0,400,10.0,9,1.0,0.03,1.0,1.0,10,4000.0,0.044400560571077816,0.00037231526792791685,0.9999974587568738,5.81729803220679e-06,215264.4607065489
voter,8.0,800,10.0,9,1.0,0.03,1.0,0.0,10,4000.0,0.9999999999999971,1.1374287716222514e-14,0.999875,0.0003952847075210741,1051870.0982836194
voter,8.0,800,10.0,9,1.0,0.03,1.0,0.025,10,4000.0,0.5995637868911189,0.061796417461136774,0.9993114064322614,0.0004592446883299311,1313799.0104315947
voter,8.0,800,10.0,9,1.0,0.03,1.0,0.05,10,4000.0,0.34616544831086793,0.029010504001076604,0.9995283494417597,0.0001901464065554717,1332543.394567572
voter,8.0,800,10.0,9,1.0,0.03,1.0,0.075,10,4000.0,0.23469095617343153,0.007343422096705471,0.999381103149475,0.00033307295208339716,1318083.4834027663
voter,8.0,800,10.0,9,1.0,0.03,1.0,0.1,10,4000.0,0.17791834552327632,0.009614919657184284,0.9994346358940177,0.00036014867405124296,1269860.5479920013
voter,8.0,800,10.0,9,1.0,0.03,1.0,0.15,10,4000.0,0.11818998422107789,0.0036199410308606988,0.9997895142476254,0.00021088084146519547,1081681.8441759706
voter,8.0,800,10.0,9,1.0,0.03,1.0,0.2,10,4000.0,0.0889194472337041,0.001243341824643612,0.9999085985669055,0.00011743399085880179,1006341.8242959507
voter,8.0,800,10.0,9,1.0,0.03,1.0,0.25,10,4000.0,0.0714076059529822,0.0013568091708274137,0.9999474045992335,8.523462719661693e-05,1055444.7645059158
voter,8.0,800,10.0,9,1.0,0.03,1.0,0.5,10,4000.0,0.04024838505117918,0.0003879132150096933,0.9999997083819363,9.221772879899282e-07,834524.7728045325
voter,8.0,800,10.0,9,1.0,0.03,1.0,0.75,10,4000.0,0.032719349791154706,0.00028968370453168196,1.0,0.0,784765.8350608232
voter,8.0,800,10.0,9,1.0,0.03,1.0,1.0,10,4000.0,0.03137937546475679,0.0002358590739537934,1.0,0.0,748642.0809865022
