model,density,seed,first_stable_va0999,final_time,final_va,final_S
voter,0.16,5,451,30000,0.9999999999999999,1.0
voter,0.16,6,541,30000,1.0000000000000004,1.0
voter,0.16,7,1827,30000,1.0,1.0
voter,0.16,8,435,30000,0.9999999999999997,1.0
voter,0.16,9,1382,30000,0.9999999999999999,1.0
voter,0.16,10,455,30000,1.0000000000000002,1.0
voter,0.16,11,368,30000,1.0000000000000002,1.0
voter,0.16,12,1478,30000,1.0,1.0
voter,0.16,13,492,30000,1.0,0.75
voter,0.16,14,1382,30000,1.0,1.0
voter,0.16,15,1079,30000,0.9999999999999996,1.0
voter,0.16,16,539,30000,0.9999999999999998,1.0
voter,0.16,17,760,30000,1.0,1.0
voter,0.16,18,788,30000,1.0000000000000002,1.0
voter,0.16,19,2189,30000,0.9999999999999997,1.0
voter,0.16,20,653,30000,1.0000000000000002,1.0
voter,0.16,21,705,30000,0.9999999999999996,0.9375
voter,0.16,22,1388,30000,1.0,0.8125
voter,0.16,23,676,30000,0.9999999999999997,1.0
voter,0.16,24,705,30000,1.0000000000000002,1.0
voter,0.16,25,664,30000,1.0,1.0
voter,0.16,26,758,30000,1.0,0.9375
voter,0.16,27,528,30000,0.9999999999999998,1.0
voter,0.16,28,1098,30000,1.0,1.0
voter,0.16,29,614,30000,0.9999999999999997,0.9375
voter,0.16,30,1504,30000,0.9999999999999998,1.0
voter,0.16,31,679,30000,1.0000000000000002,1.0
voter,0.16,32,1021,30000,0.9999999999999998,1.0
voter,0.16,33,761,30000,0.9999999999999998,1.0
voter,0.16,34,1222,30000,1.0,1.0
voter,0.16,35,1717,30000,1.0,1.0
voter,0.16,36,910,30000,1.0,0.9375
voter,0.16,37,654,30000,0.9999999999999997,1.0
voter,0.16,38,927,30000,0.9999999999999997,1.0
voter,0.16,39,2060,30000,0.9999999999999998,0.6875
voter,0.16,40,497,30000,0.9999999999999997,0.9375
voter,0.16,41,367,30000,1.0,1.0
voter,0.16,42,380,30000,0.9999999999999998,0.875
voter,0.16,43,648,30000,1.0000000000000002,0.75
voter,0.16,44,1479,30000,1.0000000000000002,0.875
voter,0.16,45,879,30000,1.0,0.4375
voter,0.16,46,773,30000,0.9999999999999997,1.0
voter,0.16,47,6592,30000,1.0000000000000002,1.0
voter,0.16,48,5230,30000,1.0000000000000002,1.0
voter,0.16,49,667,30000,1.0000000000000002,1.0
voter,0.16,50,665,30000,0.9999999999999999,1.0
voter,0.16,51,621,30000,0.9999999999999998,1.0
voter,0.16,52,3997,30000,1.0000000000000002,1.0
voter,0.16,53,449,30000,1.0000000000000002,1.0
voter,0.16,54,33194,300000,1.0,0.8125
voter,0.16,55,298,30000,1.0000000000000002,1.0
voter,0.16,56,1151,30000,1.0000000000000002,0.75
voter,0.16,57,610,30000,1.0,1.0
voter,0.16,58,2587,30000,1.0,1.0
voter,0.16,59,708,30000,0.9999999999999997,1.0
voter,0.16,60,490,30000,1.0000000000000004,0.6875
voter,0.16,61,1181,30000,1.0000000000000002,1.0
voter,0.16,62,425,30000,1.0000000000000002,1.0
voter,0.16,63,1105,30000,1.0,1.0
