model,density,particle_count,side,cells_per_side,cutoff,speed,time_step,eta,realizations,stationary_start,polarization_mean,polarization_std,cluster_mean,cluster_std,cim_time_ns_mean
vicsek,0.32,32,10.0,9,1.0,0.03,1.0,0.25,10,4000.0,0.7020306631397959,0.06722207134097456,0.7712032369605065,0.08492218243089113,8555.538360273287
vicsek,0.32,32,10.0,9,1.0,0.03,1.0,0.375,10,4000.0,0.46051848728699313,0.04245668245371776,0.5826851774704216,0.06633659686915645,6730.171638060323
vicsek,0.32,32,10.0,9,1.0,0.03,1.0,0.5,10,4000.0,0.2976304066200789,0.03420636954206483,0.42473650224962506,0.08514348938859005,5385.76707215464
vicsek,0.32,32,10.0,9,1.0,0.03,1.0,0.625,10,4000.0,0.19785930612412458,0.009484676816280924,0.28795096650558244,0.06256188312812155,4110.433744375938
vicsek,0.32,32,10.0,9,1.0,0.03,1.0,0.75,10,4000.0,0.16789163757645292,0.0021199178889756976,0.2217984502582903,0.030534626664465044,3616.048741876354
vicsek,0.32,32,10.0,9,1.0,0.03,1.0,0.875,10,4000.0,0.1593152486294768,0.0011483806640569015,0.18301428928511915,0.025675945508927815,3590.256073987669
vicsek,0.32,32,10.0,9,1.0,0.03,1.0,1.0,10,4000.0,0.157143330344784,0.0008028945551305851,0.1619204090984836,0.03178494679259312,3597.3759040159975
voter,0.11,11,10.0,9,1.0,0.03,1.0,0.0,10,4000.0,0.9811980998975699,0.05646613809287088,0.9265046734635136,0.1335412905953507,1977.4161806365605
voter,0.11,11,10.0,9,1.0,0.03,1.0,0.125,10,4000.0,0.5932910980207932,0.06542133720164343,0.6349244822832558,0.1258650211811135,2157.6363606065656
voter,0.11,11,10.0,9,1.0,0.03,1.0,0.25,10,4000.0,0.39075014316006557,0.021661045871561844,0.4284588932147672,0.07025950879312534,1777.5703049491754
voter,0.11,11,10.0,9,1.0,0.03,1.0,0.375,10,4000.0,0.32135766022512857,0.011103939838991213,0.3367968974867825,0.06873828239344137,1632.9057657057158
voter,0.11,11,10.0,9,1.0,0.03,1.0,0.5,10,4000.0,0.29232848055340216,0.004938761569474817,0.28315735256245167,0.04315056705701979,1532.539460089985
voter,0.11,11,10.0,9,1.0,0.03,1.0,0.625,10,4000.0,0.27928976925179816,0.0026982714751496986,0.28148490403114634,0.06514683020024536,1449.0234627562072
voter,0.11,11,10.0,9,1.0,0.03,1.0,0.75,10,4000.0,0.27320456788136693,0.0026075192069320856,0.2471436578752026,0.08226592325108095,1430.9059990001665
voter,0.11,11,10.0,9,1.0,0.03,1.0,0.875,10,4000.0,0.2696701307850577,0.0019975914076697187,0.21969368741573372,0.05664783829566771,1415.0824362606231
voter,0.11,11,10.0,9,1.0,0.03,1.0,1.0,10,4000.0,0.2683250710434291,0.0019933218649191274,0.19798669918649922,0.028714831163645545,1406.0260289951675
voter,0.16,16,10.0,9,1.0,0.03,1.0,0.0,10,4000.0,1.0,1.890641683868921e-16,0.875,0.1839950180484968,2930.947408765206
voter,0.16,16,10.0,9,1.0,0.03,1.0,0.125,10,4000.0,0.510338840705894,0.024525419117615074,0.5522892017997,0.06419486420051199,2889.081436427262
voter,0.16,16,10.0,9,1.0,0.03,1.0,0.25,10,4000.0,0.35818277602151183,0.011209209679780487,0.4626541409765039,0.06623570166086115,2550.470854857524
voter,0.16,16,10.0,9,1.0,0.03,1.0,0.375,10,4000.0,0.2784533224738964,0.010458375991905734,0.32412202132977835,0.06969399574380011,2208.8135810698213
voter,0.16,16,10.0,9,1.0,0.03,1.0,0.5,10,4000.0,0.24958897392129478,0.004930847090904054,0.2924408431928012,0.04427560109284511,2151.1034494250957
voter,0.16,16,10.0,9,1.0,0.03,1.0,0.625,10,4000.0,0.23318838409742826,0.00344739971258916,0.23520871521413098,0.04805006144654678,1936.0616897183802
voter,0.16,16,10.0,9,1.0,0.03,1.0,0.75,10,4000.0,0.22712858784724252,0.0016313500529163746,0.22067676220629892,0.0663840058185923,2061.5704215964006
voter,0.16,16,10.0,9,1.0,0.03,1.0,0.875,10,4000.0,0.2234597960295465,0.0013204973197207775,0.17957319613397765,0.021275107585034713,1739.4531911348108
