seed,boundary,method,N,L,M,rc,repetition,time_ns,neighbor_pairs,distance_evaluations
10296390851479922074,walls,cim,25,4.4721359549995796,2,1,66,8250,76,300
8418607276228209505,walls,cim,25,4.4721359549995796,2,1,67,8791,90,300
2412593474258369983,walls,cim,25,4.4721359549995796,2,1,68,8750,86,300
2434426924993139408,walls,cim,25,4.4721359549995796,2,1,69,8167,73,300
10576140697546731227,walls,cim,25,4.4721359549995796,2,1,70,8792,86,300
15084933130085210962,walls,cim,25,4.4721359549995796,2,1,71,8708,83,300
14098440616692448850,walls,cim,25,4.4721359549995796,2,1,72,8542,80,300
13354610585552552916,walls,cim,25,4.4721359549995796,2,1,73,8584,84,300
15674055804036683278,walls,cim,25,4.4721359549995796,2,1,74,8666,71,300
6218109634816950325,walls,cim,25,4.4721359549995796,2,1,75,8250,83,300
1313746155540545732,walls,cim,25,4.4721359549995796,2,1,76,8375,85,300
2025203130957383196,walls,cim,25,4.4721359549995796,2,1,77,9167,99,300
14704011852690599139,walls,cim,25,4.4721359549995796,2,1,78,8709,86,300
3211645775583075423,walls,cim,25,4.4721359549995796,2,1,79,8750,75,300
2302877127697991036,walls,cim,25,4.4721359549995796,2,1,80,8792,82,300
9695207559873814669,walls,cim,25,4.4721359549995796,2,1,81,8792,92,300
12732794744632699026,walls,cim,25,4.4721359549995796,2,1,82,9125,102,300
8098786794660483582,walls,cim,25,4.4721359549995796,2,1,83,8458,73,300
6361279818463485397,walls,cim,25,4.4721359549995796,2,1,84,8791,87,300
8707312182623507299,walls,cim,25,4.4721359549995796,2,1,85,8583,81,300
18145455217308300400,walls,cim,25,4.4721359549995796,2,1,86,8584,81,300
13811697400319734948,walls,cim,25,4.4721359549995796,2,1,87,8750,82,300
14913783124756225151,walls,cim,25,4.4721359549995796,2,1,88,8875,88,300
2455444427057933185,walls,cim,25,4.4721359549995796,2,1,89,8458,83,300
11239982105773178679,walls,cim,25,4.4721359549995796,2,1,90,8209,75,300
7536487564806109237,walls,cim,25,4.4721359549995796,2,1,91,8375,80,300
1973993573625723222,walls,cim,25,4.4721359549995796,2,1,92,8458,85,300
809147130310824067,walls,cim,25,4.4721359549995796,2,1,93,7958,71,300
9647956730654047300,walls,cim,25,4.4721359549995796,2,1,94,8208,75,300
14693913382692672186,walls,cim,25,4.4721359549995796,2,1,95,8167,80,300
8922051410812393390,walls,cim,25,4.4721359549995796,2,1,96,9083,91,300
15409954762568772586,walls,cim,25,4.4721359549995796,2,1,97,8750,85,300
10583535616275569359,walls,cim,25,4.4721359549995796,2,1,98,8583,76,300
5163348697853016503,walls,cim,25,4.4721359549995796,2,1,99,8500,81,300
5659279470811922777,walls,cim,25,4.4721359549995796,2,1,100,8625,85,300
3065439355504250503,walls,cim,50,6.324555320336759,4,1,1,18209,174,517
6313250698732629763,walls,cim,50,6.324555320336759,4,1,2,16917,175,507
14185229396427950684,walls,cim,50,6.324555320336759,4,1,3,26625,180,531
12172214524882635145,walls,cim,50,6.324555320336759,4,1,4,16958,195,513
4331849076048154357,walls,cim,50,6.324555320336759,4,1,5,16625,194,483
13268360578558940573,walls,cim,50,6.324555320336759,4,1,6,16333,170,523
5516477495527228702,walls,cim,50,6.324555320336759,4,1,7,16709,175,502
17604588053550342059,walls,cim,50,6.324555320336759,4,1,8,15625,169,462
13709202036079425214,walls,cim,50,6.324555320336759,4,1,9,16333,188,493
328553294665184448,walls,cim,50,6.324555320336759,4,1,10,16208,183,496
7795625631346787036,walls,cim,50,6.324555320336759,4,1,11,15167,180,456
10977788638166897323,walls,cim,50,6.324555320336759,4,1,12,16417,172,488
9835291104941707913,walls,cim,50,6.324555320336759,4,1,13,17000,192,524
5871949097559650154,walls,cim,50,6.324555320336759,4,1,14,15583,178,483
2625888253761235330,walls,cim,50,6.324555320336759,4,1,15,16167,185,496
15341022704094797268,walls,cim,50,6.324555320336759,4,1,16,15750,173,476
15474728996760279365,walls,cim,50,6.324555320336759,4,1,17,16250,182,491
13802410976709088011,walls,cim,50,6.324555320336759,4,1,18,17250,199,541
16032526252355866903,walls,cim,50,6.324555320336759,4,1,19,16500,191,520
16169633337729935631,walls,cim,50,6.324555320336759,4,1,20,24625,161,468
13921530959824654349,walls,cim,50,6.324555320336759,4,1,21,16625,176,503
12825788762264498043,walls,cim,50,6.324555320336759,4,1,22,14750,159,451
10486048822504567690,walls,cim,50,6.324555320336759,4,1,23,16084,184,506
11463639896216583983,walls,cim,50,6.324555320336759,4,1,24,15750,172,474
556866726993102248,walls,cim,50,6.324555320336759,4,1,25,15458,160,474
11087366312575602001,walls,cim,50,6.324555320336759,4,1,26,16042,173,483
1607577787291144159,walls,cim,50,6.324555320336759,4,1,27,14416,163,461
6147601082294822064,walls,cim,50,6.324555320336759,4,1,28,16167,193,480
14915168281524253130,walls,cim,50,6.324555320336759,4,1,29,15875,166,471
13725669138805797271,walls,cim,50,6.324555320336759,4,1,30,15583,178,468
13346665114303501251,walls,cim,50,6.324555320336759,4,1,31,18083,193,531
11517067545656023861,walls,cim,50,6.324555320336759,4,1,32,17041,189,521
18268956564410591490,walls,cim,50,6.324555320336759,4,1,33,16000,175,494
1131569474894531765,walls,cim,50,6.324555320336759,4,1,34,15667,168,495
17375410364983510740,walls,cim,50,6.324555320336759,4,1,35,15917,171,490
9470220645148741168,walls,cim,50,6.324555320336759,4,1,36,17583,187,556
12969798201316772994,walls,cim,50,6.324555320336759,4,1,37,17166,187,523
10243380358834406018,walls,cim,50,6.324555320336759,4,1,38,16416,167,524
14952949647709165518,walls,cim,50,6.324555320336759,4,1,39,19709,165,494
16689664494241524542,walls,cim,50,6.324555320336759,4,1,40,17792,175,506
17348892742537758998,walls,cim,50,6.324555320336759,4,1,41,16916,179,486
14413783099446250147,walls,cim,50,6.324555320336759,4,1,42,16250,183,453
2718048172018259384,walls,cim,50,6.324555320336759,4,1,43,16166,178,485
10950306326174540130,walls,cim,50,6.324555320336759,4,1,44,17459,183,555
17668823134352723851,walls,cim,50,6.324555320336759,4,1,45,16959,186,507
9747791972979373689,walls,cim,50,6.324555320336759,4,1,46,14584,171,443
17126713812961260131,walls,cim,50,6.324555320336759,4,1,47,16750,182,481
8832089208181360887,walls,cim,50,6.324555320336759,4,1,48,15166,170,446
9226961284892219962,walls,cim,50,6.324555320336759,4,1,49,17625,199,536
14986198016310588866,walls,cim,50,6.324555320336759,4,1,50,15209,171,456
6202719327359353421,walls,cim,50,6.324555320336759,4,1,51,14459,165,450
5572814893439465525,walls,cim,50,6.324555320336759,4,1,52,14792,155,473
2158439667059711621,walls,cim,50,6.324555320336759,4,1,53,15875,172,494
13039057148458382718,walls,cim,50,6.324555320336759,4,1,54,16750,189,476
17147943236187297306,walls,cim,50,6.324555320336759,4,1,55,16166,178,480
6248539142210424138,walls,cim,50,6.324555320336759,4,1,56,16625,182,511
15959272508202035711,walls,cim,50,6.324555320336759,4,1,57,16333,186,493
15244321601124656947,walls,cim,50,6.324555320336759,4,1,58,15375,159,473
