seed,boundary,method,N,L,M,rc,repetition,time_ns,neighbor_pairs,distance_evaluations
14921690216146855490,walls,cim,25,20,13,1,76,4000,7,11
15194275786410402683,walls,cim,25,20,13,1,77,4250,6,22
17919885732251344716,walls,cim,25,20,13,1,78,3916,4,9
6811302974389318565,walls,cim,25,20,13,1,79,4125,5,22
7014689393059434699,walls,cim,25,20,13,1,80,4042,7,10
6077504103746664172,walls,cim,25,20,13,1,81,4125,3,19
12621159341463264241,walls,cim,25,20,13,1,82,4083,4,16
125538847184105815,walls,cim,25,20,13,1,83,3833,1,11
6873274220969893844,walls,cim,25,20,13,1,84,3875,2,9
14156532076657828877,walls,cim,25,20,13,1,85,3959,5,12
17792756249436307921,walls,cim,25,20,13,1,86,4334,9,23
17230711860145105439,walls,cim,25,20,13,1,87,4250,10,17
1205924875983297611,walls,cim,25,20,13,1,88,4167,7,17
10123847525431095310,walls,cim,25,20,13,1,89,3833,2,12
13380661832024388183,walls,cim,25,20,13,1,90,4125,6,15
13212630229578466647,walls,cim,25,20,13,1,91,4042,3,17
7424920543233878426,walls,cim,25,20,13,1,92,4041,6,18
3691421252357183040,walls,cim,25,20,13,1,93,4500,8,27
6433738344066654567,walls,cim,25,20,13,1,94,4000,3,15
8560444534900415662,walls,cim,25,20,13,1,95,4459,10,27
3641317237688841288,walls,cim,25,20,13,1,96,3709,5,9
1492813225361141125,walls,cim,25,20,13,1,97,3875,6,14
5065223921586465260,walls,cim,25,20,13,1,98,3750,5,12
10600285496810159900,walls,cim,25,20,13,1,99,3875,2,16
3818761358141674755,walls,cim,25,20,13,1,100,3834,4,16
6762702213590438253,walls,cim,50,20,13,1,1,6583,15,59
17787733986992720355,walls,cim,50,20,13,1,2,6250,15,59
10840494787336556325,walls,cim,50,20,13,1,3,6209,22,59
8537291397684404073,walls,cim,50,20,13,1,4,6208,22,59
9423509635356731196,walls,cim,50,20,13,1,5,5875,18,53
12804247667178900075,walls,cim,50,20,13,1,6,6041,20,46
17297030572782638346,walls,cim,50,20,13,1,7,5625,12,52
15743644911425886735,walls,cim,50,20,13,1,8,5791,15,53
16780338794977713701,walls,cim,50,20,13,1,9,6458,20,65
9666945784067368561,walls,cim,50,20,13,1,10,6000,15,51
13813672090960822883,walls,cim,50,20,13,1,11,6333,22,60
13177325847536073271,walls,cim,50,20,13,1,12,6459,19,65
2355995143471788258,walls,cim,50,20,13,1,13,6583,26,69
2683783944107405687,walls,cim,50,20,13,1,14,5792,17,48
321811343130463437,walls,cim,50,20,13,1,15,6292,23,63
4581326576642598084,walls,cim,50,20,13,1,16,5917,18,59
2484505465174701714,walls,cim,50,20,13,1,17,5708,13,52
7346968019845211242,walls,cim,50,20,13,1,18,5833,14,55
5627454467790770710,walls,cim,50,20,13,1,19,5958,15,51
6179837929211417634,walls,cim,50,20,13,1,20,6125,16,64
217063164183732820,walls,cim,50,20,13,1,21,6125,19,52
5504375579332997951,walls,cim,50,20,13,1,22,7459,17,53
13775996070048241528,walls,cim,50,20,13,1,23,6417,26,52
11067706546320987495,walls,cim,50,20,13,1,24,6541,18,62
10436069795441248643,walls,cim,50,20,13,1,25,6416,15,61
9936188768767693437,walls,cim,50,20,13,1,26,6500,19,60
6608556094325770860,walls,cim,50,20,13,1,27,7625,17,61
2563977704587768627,walls,cim,50,20,13,1,28,6000,13,58
13419584280204035772,walls,cim,50,20,13,1,29,6083,16,47
4379106453620917726,walls,cim,50,20,13,1,30,6666,23,62
4151171095102855428,walls,cim,50,20,13,1,31,6667,24,60
6998491719984586405,walls,cim,50,20,13,1,32,6459,19,52
9287879212871755935,walls,cim,50,20,13,1,33,6375,16,54
220313520994459602,walls,cim,50,20,13,1,34,6375,19,60
7746407538943560769,walls,cim,50,20,13,1,35,6000,13,50
9998940032662205685,walls,cim,50,20,13,1,36,6417,19,61
4642119046138184468,walls,cim,50,20,13,1,37,6458,21,65
14429124667100418399,walls,cim,50,20,13,1,38,6208,18,51
2138330273399685608,walls,cim,50,20,13,1,39,7917,21,71
3665464664988510180,walls,cim,50,20,13,1,40,6750,23,67
8107378718407180092,walls,cim,50,20,13,1,41,6834,21,78
5127771704727895219,walls,cim,50,20,13,1,42,6208,18,56
13944227234664414886,walls,cim,50,20,13,1,43,6375,20,63
7054956734426203217,walls,cim,50,20,13,1,44,5833,18,52
18235063949903324113,walls,cim,50,20,13,1,45,6125,15,55
4509605027478335750,walls,cim,50,20,13,1,46,6500,22,67
12773946593220077503,walls,cim,50,20,13,1,47,6167,14,63
11563089918945705469,walls,cim,50,20,13,1,48,6250,19,56
16124859221110232421,walls,cim,50,20,13,1,49,6750,21,65
6465724597562442906,walls,cim,50,20,13,1,50,6333,26,61
4410593262144976055,walls,cim,50,20,13,1,51,6209,22,58
7462159562057643152,walls,cim,50,20,13,1,52,5833,19,45
10776827555904305363,walls,cim,50,20,13,1,53,6917,26,80
3740624630603829794,walls,cim,50,20,13,1,54,6417,21,64
3177318919531065561,walls,cim,50,20,13,1,55,5875,16,45
9944637114559211324,walls,cim,50,20,13,1,56,6375,22,67
5553988443365949102,walls,cim,50,20,13,1,57,6333,15,57
16136929216905377436,walls,cim,50,20,13,1,58,6333,20,57
10420683907318585091,walls,cim,50,20,13,1,59,6292,19,49
305972103771556195,walls,cim,50,20,13,1,60,6209,15,61
4262910558849338125,walls,cim,50,20,13,1,61,6709,19,69
16886233645103841391,walls,cim,50,20,13,1,62,6916,27,72
2125238258781757485,walls,cim,50,20,13,1,63,6125,16,53
10313424899957878876,walls,cim,50,20,13,1,64,6125,16,56
17903939330626602869,walls,cim,50,20,13,1,65,6250,17,60
2474592846461239838,walls,cim,50,20,13,1,66,6583,21,65
5007996317676351249,walls,cim,50,20,13,1,67,6333,16,67
16727636604962727703,walls,cim,50,20,13,1,68,6375,16,61
2806932403298178891,walls,cim,50,20,13,1,69,6708,23,70
1122266130765075040,walls,cim,50,20,13,1,70,6542,20,70
1626853403841431083,walls,cim,50,20,13,1,71,6125,16,58
15834124149857258053,walls,cim,50,20,13,1,72,6208,16,55
13241617310905040665,walls,cim,50,20,13,1,73,6958,22,63
814397943312610236,walls,cim,50,20,13,1,74,6917,24,64
11643225097829663309,walls,cim,50,20,13,1,75,6250,19,51
6558593178056295738,walls,cim,50,20,13,1,76,6750,21,66
9242292808204313347,walls,cim,50,20,13,1,77,6417,18,60
7876305018906984318,walls,cim,50,20,13,1,78,6166,17,65
8951132279965733098,walls,cim,50,20,13,1,79,5958,14,46
11563229115732563538,walls,cim,50,20,13,1,80,6417,21,57
8448353002026822535,walls,cim,50,20,13,1,81,6292,19,52
9928582794804050868,walls,cim,50,20,13,1,82,6459,23,61
4985601248961430692,walls,cim,50,20,13,1,83,6042,17,54
15529416200780506493,walls,cim,50,20,13,1,84,6542,22,64
9335591254205350777,walls,cim,50,20,13,1,85,6167,17,56
6596687700004841192,walls,cim,50,20,13,1,86,6250,18,56
13519235401247384134,walls,cim,50,20,13,1,87,5792,11,57
18353210015522436889,walls,cim,50,20,13,1,88,6167,23,54
2321009664172437120,walls,cim,50,20,13,1,89,5916,18,52
6722717139033554401,walls,cim,50,20,13,1,90,5917,14,60
15167440678308925570,walls,cim,50,20,13,1,91,6208,20,61
4056833787502987448,walls,cim,50,20,13,1,92,5958,15,57
1172619777591562360,walls,cim,50,20,13,1,93,6417,22,60
13087669250686003156,walls,cim,50,20,13,1,94,5834,14,53
10710656778723749290,walls,cim,50,20,13,1,95,5792,14,48
12042981685014666673,walls,cim,50,20,13,1,96,6250,17,64
12289894524613703432,walls,cim,50,20,13,1,97,6084,17,47
11420506204714581609,walls,cim,50,20,13,1,98,6834,27,69
9546103051619812050,walls,cim,50,20,13,1,99,6416,16,67
16134172849286164394,walls,cim,50,20,13,1,100,6208,19,56
13718571042579157724,walls,cim,100,20,13,1,1,15417,77,248
16645059406035606129,walls,cim,100,20,13,1,2,15125,75,227
15127388291385452438,walls,cim,100,20,13,1,3,13458,82,243
10774119771099164187,walls,cim,100,20,13,1,4,13917,81,242
15824636006623893602,walls,cim,100,20,13,1,5,13083,70,218
4582846536232411318,walls,cim,100,20,13,1,6,13250,57,215
